station,model,limit_mode,target,step,rmse,mae,mape,r2
XYA,mlp,with_limit,XYA_ACTIVE_POWER_JIA,1,10.952708620057559,7.794774721564947,7669013437.451367,0.9629901711061376
XYA,mlp,with_limit,XYA_ACTIVE_POWER_JIA,2,16.85035269968217,12.20448819878177,13634108870.122093,0.9124024417848541
XYA,mlp,with_limit,XYA_ACTIVE_POWER_JIA,3,22.3842211988089,15.301543268634225,6523989586.824511,0.8453726563823387
XYA,mlp,with_limit,XYA_ACTIVE_POWER_JIA,4,28.27034026844929,18.679935764612303,2211161781.261583,0.7533595017696146
XYA,mlp,with_limit,XYA_ACTIVE_POWER_JIA,5,29.4733040749828,20.680947524978997,11325636941.888468,0.731922745596908
XYA,mlp,with_limit,XYA_ACTIVE_POWER_JIA,6,33.64841192249598,23.194011390638646,5116768770.358136,0.650593112590216
XYA,mlp,with_limit,XYA_ACTIVE_POWER_JIA,7,37.14337559407621,25.44792934251176,6355663613.324923,0.5742398038428317
XYA,mlp,with_limit,XYA_ACTIVE_POWER_YI,1,10.761446094334577,7.401473894429092,7008616171.383502,0.9640706417102621
XYA,mlp,with_limit,XYA_ACTIVE_POWER_YI,2,17.966752049698258,11.707347733048953,2324466391.5978355,0.899850833270403
XYA,mlp,with_limit,XYA_ACTIVE_POWER_YI,3,21.592595684035157,14.592488360160537,7631149335.665406,0.8553852765317984
XYA,mlp,with_limit,XYA_ACTIVE_POWER_YI,4,31.05228220382583,21.057574428929595,8738058251.642838,0.70091829026354
XYA,mlp,with_limit,XYA_ACTIVE_POWER_YI,5,30.407554754652313,20.232184742767647,4764536466.457467,0.7132088134471638
XYA,mlp,with_limit,XYA_ACTIVE_POWER_YI,6,37.135061928581905,25.622473820482874,10928149632.157175,0.5722686219717823
XYA,mlp,with_limit,XYA_ACTIVE_POWER_YI,7,38.21302929034796,25.981520094626067,2615972684.009924,0.5470755763892887
XYA,mlp,with_limit,XYA_ACTIVE_POWER_STATION,1,20.485832794690005,13.85721349191798,6220336791.434263,0.9669098825781867
XYA,mlp,with_limit,XYA_ACTIVE_POWER_STATION,2,33.057410262158506,22.777779826377987,19344527325.25443,0.9138354317420162
