station,model,limit_mode,target,step,rmse,mae,mape,r2
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,1,8.649712576664212,5.474026100923974,1111674888.3559382,0.9769177913793762
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,2,14.059150167911906,9.028883841183138,2686825859.346108,0.9390193360627606
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,3,18.150675053644783,11.916614386239448,4340618344.62325,0.8983311570539454
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,4,21.37437622294844,14.230377722357465,6045475067.456993,0.8590097059742873
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,5,24.08909733420731,16.295159943771083,7646033864.158495,0.8209215320266974
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,6,26.541044436851294,18.25185585442152,9387899079.292957,0.7826106141187832
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,7,28.761442907947853,20.072723994896954,11102857019.597574,0.7447159639544301
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,8,30.6878508723908,21.667510110421713,12399056677.539957,0.7093015639602982
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,9,32.406426252951576,23.090862200486338,13772419788.696072,0.6758305938336058
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,10,33.95354966974323,24.39162107426346,15251527559.009537,0.6441392303581988
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,11,35.39023963938689,25.69227507229628,16851856692.866602,0.6133867340523392
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,12,36.77408558149928,26.960538858185583,18548304743.16735,0.5825605302859916
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,13,38.039351037491315,28.1621761011581,20306173277.317772,0.5532550985018254
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,14,39.17132287644698,29.1778377879399,21932272688.13233,0.5262710957612928
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,15,40.206542492236885,30.196709703685936,23426589168.3646,0.5009008125810366
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,16,41.18309484423695,31.134163034860727,24958785726.217278,0.4763617453670054
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,17,42.09757541260943,32.00287946740674,26525351675.428032,0.4528485257646221
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,18,42.93505490258719,32.78871510050576,28021218546.68363,0.4308157978191479
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,19,43.68818983540775,33.4990078328455,29499882835.053867,0.41067224683723735
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,20,44.417212998061856,34.23838725114577,31184298956.958874,0.3908399661357477
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,21,45.14136576441883,34.97917170969084,33004600283.32421,0.3708152587063944
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,22,45.832892455189445,35.69270421022053,34752257251.172134,0.35139047181756544
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,23,46.50842223365486,36.36490127429059,36357911940.49005,0.33217849911223796
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,24,47.122885644603606,36.982771334239224,37997801224.66854,0.31441558150995397
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,25,47.707811096657,37.58484428687832,39764860016.831406,0.29728994803894393
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,26,48.27369148344821,38.1394567847423,41598788105.32637,0.28052086287895295
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,27,48.828288800084174,38.695574318878215,43368123460.247055,0.263894278719916
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,28,49.35847896823136,39.20844284283176,44980964417.184814,0.24779667125269245
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,29,49.84610699706902,39.65001438294218,46382989574.83971,0.23286074623164543
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,30,50.30998235638991,40.07510468120148,47684780649.04219,0.2185160823104928
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,31,50.75057123597416,40.51737010541474,49010634659.43848,0.20476848130192093
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,32,51.130360790627364,40.89692678422908,50286155146.677605,0.19282179003746747
