station,model,limit_mode,target,step,rmse,mae,mape,r2
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,1,9.377660179155544,6.107048207828417,1196161321.2419274,0.9728691755582238
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,2,14.9306719914559,9.842760094396834,2549307315.018814,0.9312246643847366
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,3,18.98316005037196,12.7721314895321,4120582927.079993,0.8887911534828196
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,4,22.592763613233767,15.480104794869646,6380528424.056078,0.8424780664156368
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,5,25.698825370229294,17.964054297505204,7315107416.101278,0.7961884161537502
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,6,28.260159133427756,19.985513111644593,8961489278.312187,0.753537117463424
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,7,30.334856789024375,21.79425590673489,10584472953.929821,0.7160210066281213
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,8,32.23466469584919,23.454445513943558,11952353426.61821,0.6792578328331806
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,9,33.96139273475665,24.8214729931954,13403169238.99514,0.6439748079908307
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,10,35.42687105059719,26.09682022657572,15349724516.704441,0.6125859754757034
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,11,36.51912410496092,27.167527905125343,16687921588.77236,0.5883288331072245
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,12,37.83228578425414,28.39295615203403,18657430265.829594,0.5581906439666873
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,13,39.31290667893641,29.787063079529357,19292348055.056454,0.5228403433457702
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,14,40.42880472601084,30.635764852097207,18818285182.155144,0.4953675084455519
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,15,41.38688660305699,31.65275137879341,20212476849.914276,0.4711665460877609
XYA,xgboost,with_limit,XYA_ACTIVE_POWER_JIA,16,42.73532750466013,32.64698922398617,20567264376.067467,0.43614494324534336
