model,station,step,limit_mode,RMSE_sum,RMSE_direct,MAE_sum,MAE_direct,R2_sum,R2_direct
lightgbm,XS,1,no_limit,14.782140027708031,15.123623609002912,10.485633104757776,10.788380479258418,0.9815705276404748,0.9807092106753275
lightgbm,XS,1,with_limit,14.751256981987385,15.015318258027056,10.473274184704255,10.70797789150367,0.981647453402225,0.9809845170024212
lightgbm,XS,2,no_limit,25.992196025522162,26.396037919955198,18.501045628378115,18.859525863242308,0.9429947043113046,0.9412095556682395
lightgbm,XS,2,with_limit,25.970122999377764,26.29931141372225,18.52902851563033,18.77382676773293,0.9430914829832163,0.9416396334871988
lightgbm,XS,3,no_limit,34.150248397304985,34.625621306685176,24.48102939658317,24.81903174677704,0.9015950399754769,0.8988363698309163
lightgbm,XS,3,with_limit,33.936721169673696,34.483160296995436,24.38488839204264,24.753056567546007,0.9028217630140271,0.8996670971825639
lightgbm,XS,4,no_limit,40.75690787678928,41.00838761635033,29.462361075794487,29.599350849046512,0.8597769916279729,0.8580412349799796
lightgbm,XS,4,with_limit,40.426502600644554,40.706530485909916,29.162515543398353,29.35077788263589,0.8620412766329203,0.860123421419408
lightgbm,XS,5,no_limit,46.583782909044125,46.68017285907665,33.84623169315709,33.904860036540754,0.8167653552041078,0.8160062819814256
lightgbm,XS,5,with_limit,46.40613593134661,46.48809047480162,33.720326526515905,33.83267600329539,0.8181602189164325,0.8175173834316968
lightgbm,XS,6,no_limit,51.7698359977098,51.803778707529716,37.770233745745976,37.90689017054003,0.7736962958361557,0.7733994481084359
lightgbm,XS,6,with_limit,51.79336928271165,51.46973468088832,37.88766868715746,37.75168524013972,0.7734905049572343,0.7763123827909137
lightgbm,XS,7,no_limit,56.540114445362654,56.63781232977841,41.45435598584304,41.561911868593,0.7300340197799788,0.7291002440817614
lightgbm,XS,7,with_limit,56.32856944678348,56.48840990689107,41.368964434442304,41.66590694641532,0.7320503975300366,0.7305275484617209
lightgbm,XS,8,no_limit,60.88590121564133,60.975131645020745,44.78237285496496,44.81578462802343,0.6869388682378957,0.6860205916515238
lightgbm,XS,8,with_limit,60.503903513652325,60.616011564456734,44.637036657957175,44.85547739933336,0.6908548317508881,0.6897081364499231
lightgbm,XS,9,no_limit,64.86651764910775,65.13688729616665,47.79416882900587,47.78892005798551,0.6446644281648923,0.6416961118430579
lightgbm,XS,9,with_limit,64.44389313683402,64.90321209716731,47.59008791396207,47.9377436786089,0.6492795768039086,0.6442622937158919
