model,station,step,limit_mode,RMSE_sum,RMSE_direct,MAE_sum,MAE_direct,R2_sum,R2_direct
mlp,XS,1,no_limit,16.155311077225864,15.793632889358673,11.237680719786011,11.00158687556521,0.9781543190858927,0.9791215134600487
mlp,XS,1,with_limit,17.98113917530506,17.98848984366559,11.94776826799869,11.903073811332131,0.9729374110575305,0.9729152802264255
mlp,XS,2,no_limit,26.22523541297231,25.834610090559696,18.207528951718363,17.886637624968635,0.9424329828815168,0.9441351343510176
mlp,XS,2,with_limit,27.385963635941845,27.138081840095147,18.61124286618392,18.26580481622443,0.9372243829488578,0.9383556565198883
mlp,XS,3,no_limit,33.62873813856396,33.78800039153645,23.41461657492462,23.71614678318325,0.9053699293752249,0.9044714903356756
mlp,XS,3,with_limit,35.88652059601997,34.695564488140384,24.83980661983021,23.936393657263434,0.8922367384119096,0.8992706719618241
mlp,XS,4,no_limit,41.448759508089594,42.71184225436148,29.271203502746825,30.475525778649576,0.8562423065417036,0.8473472511658199
mlp,XS,4,with_limit,43.07726625944003,41.922646090480484,30.348857706251245,29.164535846795495,0.8447240158568323,0.8529363316023566
mlp,XS,5,no_limit,49.416189059563564,49.604855399822185,35.302300094382744,35.63621478435691,0.7956632314256898,0.7940999759833897
mlp,XS,5,with_limit,49.453119776002055,48.31335914153334,34.90536467952724,34.3490865394519,0.7953576990392134,0.8046819005041326
mlp,XS,6,no_limit,56.263998466531476,54.684629112704705,40.554571853964866,39.380389615064324,0.7351077779408326,0.7497704682665552
mlp,XS,6,with_limit,54.04532941869162,53.3491314277514,38.52933003331045,37.480847303226035,0.7555869683715539,0.7618433418890546
mlp,XS,7,no_limit,59.667313835739485,58.45527231114971,43.12008984848871,42.83783826443613,0.7020928032830835,0.7140728487712374
mlp,XS,7,with_limit,57.5738360575438,58.596057911492885,41.12941523770332,41.44159302741888,0.7226307227197868,0.7126939175272964
mlp,XS,8,with_limit,60.85051264663152,61.81320301322511,43.71446680560344,44.566800280428346,0.6902363000574232,0.6803574866564095
mlp,XS,9,with_limit,65.65368609027563,66.78628933968396,47.826009265211,48.71514296817033,0.6394045280137035,0.6268558222848714
mlp,XS,10,with_limit,69.82062505440183,70.54508816843732,51.05437473814921,51.46463807526978,0.5921790751968481,0.583672017949775
mlp,XS,11,with_limit,73.8254079896006,73.95596311055033,53.91734455673457,54.27566009375612,0.5440536412105594,0.5424395961937651
mlp,XS,12,with_limit,78.6953899261361,78.4666840207624,57.823087445716496,57.878413175779485,0.48191547115916245,0.48492242782994854
mlp,XS,13,with_limit,83.96223065460025,83.48240135936308,61.95431305173778,61.76540391775968,0.4102904416074946,0.41701135377597
mlp,XS,14,with_limit,86.61617090784168,85.72494038150928,64.0608630360097,63.49310632065737,0.372421304182485,0.3852697078723595
mlp,XS,15,with_limit,88.43274706426902,89.40842207143413,66.24785459278297,66.12320141883464,0.3458212040754389,0.33130651570596614
mlp,XS,16,with_limit,90.13401915352019,91.07980174501226,67.46980622193144,68.20500796648092,0.3204088649805008,0.3060720439323046
mlp,XS,17,with_limit,95.68076731271888,96.46885966659455,72.19257544535657,71.75150327947462,0.2341926506594606,0.22152526798332395
mlp,XS,18,with_limit,97.71032269401563,97.57032415256907,73.24571103305946,72.93686652512255,0.20124694212224958,0.20353419590585653
mlp,XS,19,with_limit,101.17123035921058,102.74361305707107,75.97275853471012,76.61894487061024,0.14366104273948443,0.1168361042284225
mlp,XS,20,with_limit,105.53671717606592,104.3044087830867,78.34657290419176,77.79961117157275,0.0681654682160604,0.08979970869816745
mlp,XS,21,with_limit,105.64531721025114,104.89291893442879,78.47708697006713,78.51887944007944,0.06624671743383503,0.07949960185448524
mlp,XS,22,with_limit,108.03750068528699,108.57090113570402,80.44212790852987,81.33288311026381,0.023481003471817807,0.013814702466654949
mlp,XS,23,with_limit,111.61961295168622,110.2338145522899,82.98796879437377,82.36286218956124,-0.042820524840393004,-0.01708726863251453
mlp,XS,24,with_limit,109.29060651016603,118.0869629140445,81.28724086807993,87.57783189303336,0.00024354218111699577,-0.16716552754994485
mlp,XS,25,with_limit,113.24745969879051,110.36858870118658,83.85904230101848,82.15017448481714,-0.07345905509592576,-0.01957581297213018
mlp,XS,26,with_limit,114.38823018922888,111.7829393898962,84.26281701097176,83.10637382317405,-0.09519443213257128,-0.04587455391759465
mlp,XS,27,with_limit,114.045575807149,113.09170260013082,84.51291829226096,84.55231864107543,-0.08864286475353933,-0.07050828007126952
mlp,XS,28,with_limit,120.57437460050289,114.52481740649162,89.63204332324732,85.55074068436961,-0.217658528359997,-0.0985370149350484
mlp,XS,29,with_limit,118.59959326981208,113.86027035909117,88.24698605798808,85.23177700341402,-0.17809924639416197,-0.08582515920772393
mlp,XS,30,with_limit,120.39901550109487,122.63482167340399,89.70908076454906,91.81566190739774,-0.2141192650595094,-0.25963026456497973
mlp,XS,31,with_limit,122.6424604312321,119.93687206667043,91.75646753856441,90.6638527895382,-0.25978719079659474,-0.2048165248699907
mlp,XS,32,with_limit,122.14420394619165,121.89889562358316,91.34031900836477,91.8257426546631,-0.24957177159220056,-0.24455765655043726
mlp,XS,33,with_limit,122.8371075999979,122.31977018953569,92.65244041115366,92.16996837888011,-0.26466728699027753,-0.2540372423570958
mlp,XS,34,with_limit,124.40070180420864,124.93384369195186,93.47277715129044,93.87831455835575,-0.2970681113824747,-0.30820957846063557
mlp,XS,35,with_limit,128.94945565824167,122.8763889868297,96.53702786278241,93.12305779860613,-0.39365779344356655,-0.2654762579761638
mlp,XS,36,with_limit,126.67553014847682,123.43423136828967,95.66615738702497,93.52521070403125,-0.3449389851593607,-0.2769925260478612
mlp,XS,37,with_limit,129.9852855429594,123.45708872854303,97.71098158626083,93.2248020552441,-0.41613777143020503,-0.27746551284321397
mlp,XS,38,with_limit,128.7389606116589,127.33196532510844,96.50908313964415,94.96010292154779,-0.3900152784928623,-0.35979819870605145
mlp,XS,39,with_limit,132.20476766781226,125.35812697001617,99.44706998696725,94.7227408002598,-0.46586444655001236,-0.3179670900641851
mlp,XS,40,with_limit,133.071817009175,129.92964453132606,99.368776207695,97.4770625636461,-0.48515489425420877,-0.4158461932688604
mlp,XS,41,with_limit,135.5642243742327,136.1232022839358,101.12730699991583,100.97745910688464,-0.5413091766777736,-0.5540460773646254
mlp,XS,42,with_limit,137.8738163146142,129.40176328220244,103.17010221039796,96.86672820253472,-0.594274760742801,-0.4043648968296556
mlp,XS,43,with_limit,131.96905062316543,130.8104296107106,99.4209701736059,98.61423034664439,-0.4616913486247247,-0.43613820467929876
mlp,XS,44,with_limit,136.39133378815725,135.86791565472126,102.00643468745173,101.68331606609966,-0.561295271783504,-0.5493349490421178
