model,station,step,limit_mode,RMSE_sum,RMSE_direct,MAE_sum,MAE_direct,R2_sum,R2_direct
lightgbm,XS,1,no_limit,14.746122728486261,14.912497464976983,10.507870324023258,10.632372267552398,0.9816602265819886,0.9812440509950382
lightgbm,XS,1,with_limit,14.653866726561349,14.825847099328394,10.454957818980612,10.560670699322968,0.9818889865788873,0.9814613838906843
lightgbm,XS,2,no_limit,25.704841760813654,25.89390456732455,18.484725576347415,18.620601490398197,0.9442481703200569,0.9434250288052866
lightgbm,XS,2,with_limit,25.72091743107431,25.801593707877103,18.495551808594808,18.54773452051536,0.9441784147235773,0.9438276853621094
lightgbm,XS,3,no_limit,33.944364178218095,34.04459537132286,24.452152128287967,24.52755156610669,0.9027779863787545,0.902202982796263
lightgbm,XS,3,with_limit,33.817526268561146,33.96905946481336,24.36055076010778,24.45803417734229,0.9035031964806733,0.9026364725273994
lightgbm,XS,4,no_limit,40.50891091257752,40.64412086307168,29.343600593367338,29.424113983725924,0.8614782532488471,0.8605519989689194
lightgbm,XS,4,with_limit,40.31536496594285,40.55659847130928,29.158577114380904,29.379309996177714,0.8627987663904833,0.8611519224749113
lightgbm,XS,5,no_limit,46.396662468768966,46.4002038531268,33.72619034314186,33.69360694738266,0.8182344537775521,0.8182067049613959
lightgbm,XS,5,with_limit,46.21229993640218,46.255202241427845,33.48404784519766,33.545982066296304,0.8196761168272539,0.8193411453436796
lightgbm,XS,6,no_limit,51.72136510201706,51.81384766134293,37.775135390789316,37.70977094866496,0.7741198632649882,0.7733113521322346
lightgbm,XS,6,with_limit,51.31808580065719,51.49005385583253,37.40453601907253,37.471412447361445,0.7776285738898099,0.7761357335418059
lightgbm,XS,7,no_limit,56.49407306531311,56.417992961602685,41.45949325781285,41.4159586666151,0.7304735146631909,0.7311989640592713
lightgbm,XS,7,with_limit,55.98547517868976,56.19323423283849,41.024598858980255,41.18385338157986,0.7353045897564745,0.7333364040559716
lightgbm,XS,8,no_limit,60.653842831978906,60.68589901627529,44.67927897268223,44.65541532724341,0.6893207009407947,0.6889922197046225
lightgbm,XS,8,with_limit,60.22134198267323,60.3409091809887,44.33927244336225,44.32047968793624,0.6937355899439721,0.6925182298107139
lightgbm,XS,9,no_limit,64.61796244112875,64.5847038770094,47.65887151478454,47.65380312988547,0.6473823571399416,0.6477452450423891
lightgbm,XS,9,with_limit,64.1483152429673,64.20627590814647,47.30803112170259,47.34019416632447,0.6524894222664559,0.6518611581037199
lightgbm,XS,10,no_limit,68.60971116201017,68.48753197760226,50.60077695688528,50.426434504578125,0.6024711055622018,0.6038856723667674
lightgbm,XS,10,with_limit,68.34497769121691,68.23984074281444,50.31815999736712,50.233321177326516,0.6055329511006129,0.6067456565134743
lightgbm,XS,11,no_limit,72.49974099702789,72.28745170463131,53.3344112712021,53.21052687231841,0.5561597593999795,0.5587552054251461
lightgbm,XS,11,with_limit,71.88636973383606,71.8936891040811,52.91181960297108,52.92560340288478,0.56363805465833,0.5635491906010801
lightgbm,XS,12,no_limit,76.02529706129636,75.8357638950648,55.96401433132908,55.81463201027922,0.511943595406103,0.5143740382487083
lightgbm,XS,12,with_limit,75.39149828189376,75.49676467674263,55.496261189264196,55.55368433554907,0.5200472181277062,0.5187060013635701
lightgbm,XS,13,no_limit,79.61728032779848,79.52274265543082,58.771339388535516,58.72837014611287,0.4647354995519464,0.46600589253522395
lightgbm,XS,13,with_limit,78.88750121145867,78.86205490342252,58.16860748131261,58.140410985324834,0.4745030927517978,0.47484205137792557
lightgbm,XS,14,no_limit,82.88490031845562,82.64121368862902,61.32305049201745,61.091821208191305,0.42000815112352174,0.42341356006662534
lightgbm,XS,14,with_limit,82.01697265670596,82.13960371607261,60.64763320199117,60.710818663987325,0.4320913011981815,0.4303917673557255
lightgbm,XS,15,no_limit,86.02592516256446,85.91142988192613,63.82695537384699,63.78342781390516,0.3752162075968798,0.37687819940413125
lightgbm,XS,15,with_limit,84.9543653824559,85.06399827551147,63.083687592432035,63.16933711474944,0.39068418419216877,0.3891105355992923
lightgbm,XS,16,no_limit,88.85496332097732,88.7340977907257,66.18534288601029,66.06754114318501,0.333623267159747,0.3354349205617615
lightgbm,XS,16,with_limit,87.79787141489807,87.79640888569638,65.34138612329846,65.29330747665871,0.349384486011712,0.3494061616229215
lightgbm,XS,17,no_limit,92.02068906848486,91.48848921440542,68.7392996560441,68.2596666531949,0.2852940411480527,0.2935371110492895
lightgbm,XS,17,with_limit,90.84715007949819,90.66056121206901,67.66806464545421,67.48938952732676,0.30340707909701137,0.30626557286824097
lightgbm,XS,18,no_limit,94.4108199850204,94.220210511616,70.53671796564909,70.38148055548001,0.24768455103983233,0.25071923912710126
lightgbm,XS,18,with_limit,93.60477192987973,93.40947920865251,69.77224487990638,69.58181810384991,0.260475749632607,0.2635583498202667
lightgbm,XS,19,no_limit,96.96404923828463,96.82333536473342,72.55096167478506,72.37085936875948,0.20668275681476866,0.20898360427436746
lightgbm,XS,19,with_limit,96.2708798665141,96.03137712753517,71.80069563589963,71.47094988478808,0.2179846293295543,0.2218707857121519
lightgbm,XS,20,no_limit,99.29794496636349,99.19072705273052,74.38995258410813,74.26115138714759,0.16803332946072014,0.16982900755744534
lightgbm,XS,20,with_limit,98.73455051362009,98.6968961793352,73.67776801591022,73.63609370208947,0.17744733466208462,0.1780746078273937
lightgbm,XS,21,no_limit,101.83202379700957,101.49518571185847,76.43269071622169,76.11975804962218,0.12531697651757057,0.13109392690393817
lightgbm,XS,21,with_limit,100.96967475401115,100.93589374200951,75.46815077807068,75.41952960350241,0.14006849138677946,0.14064380268141252
lightgbm,XS,22,no_limit,103.93714224081435,103.78633798423189,78.21679178729322,77.9919601457353,0.08877948047913098,0.09142177447437583
lightgbm,XS,22,with_limit,103.26031388801101,103.12165924082764,77.33043987101203,77.12707389789571,0.10060839544765077,0.10302212238863595
lightgbm,XS,23,no_limit,106.02813686128485,106.10722154025441,80.10590703015453,79.99329497516402,0.05174703887800758,0.050331938113245434
lightgbm,XS,23,with_limit,105.1025640150673,105.2392407031698,78.83484988657494,78.88072607356067,0.0682303304941827,0.06580538495193133
lightgbm,XS,24,no_limit,108.0266885882403,107.83991706947386,81.53900771232277,81.35670746520151,0.015986824472147054,0.019386479883857333
lightgbm,XS,24,with_limit,107.24911092567785,106.91648635278781,80.47033334328331,80.18815082506894,0.03010172342083972,0.0361085186195349
lightgbm,XS,25,no_limit,109.86735404791283,109.6739972975258,83.08960615096137,83.06364611799965,-0.017832038779966863,-0.01425260396420902
lightgbm,XS,25,with_limit,108.60739956772625,108.57494663534165,81.69360763405534,81.78143110736265,0.005379017238114958,0.005973333004581471
lightgbm,XS,26,no_limit,111.62819012880537,111.35481749125562,84.41413125786558,84.29863082567428,-0.050383267676448185,-0.04524488032403551
lightgbm,XS,26,with_limit,110.44917821726953,110.26255603128631,83.1191798804371,83.08475211099883,-0.028312241631865298,-0.024840169623488118
lightgbm,XS,27,no_limit,113.37932710536121,113.21383430453339,85.76909117516476,85.55139380769934,-0.0835969612287566,-0.08043595076904797
lightgbm,XS,27,with_limit,112.14394354548317,111.98993603221388,84.41587754044967,84.51352893125683,-0.06011181833533574,-0.05720211008787568
lightgbm,XS,28,no_limit,114.96104689406997,114.70831417757333,86.8603267950052,86.67048019656261,-0.11404170226114263,-0.10914882236134948
lightgbm,XS,28,with_limit,113.33352778521122,113.40473387696002,85.3488852946826,85.54967349471096,-0.08272170500968734,-0.08408265444692264
lightgbm,XS,29,no_limit,116.37400606519667,116.32548167121043,87.83606206150539,87.73001464658198,-0.14122524056911456,-0.14027372708665165
lightgbm,XS,29,with_limit,114.6425822405214,114.6716901417145,86.09678442365995,86.03312699791535,-0.10751933855491425,-0.10808181116196325
lightgbm,XS,30,no_limit,117.46897809724815,117.19098152488098,88.52760981700862,88.29102159868378,-0.1628020273524231,-0.1573048742632761
lightgbm,XS,30,with_limit,115.76380325490528,115.79037365284346,86.89487294110565,86.68210336498781,-0.12928867236037767,-0.12980712617847634
lightgbm,XS,31,no_limit,118.77407023043786,118.57364736290661,89.21269060768955,89.14045216674911,-0.1884245178485131,-0.1844171366585321
lightgbm,XS,31,with_limit,117.33705881689745,117.17598293006093,87.86952075463752,87.59671960413614,-0.15984170276814114,-0.15665951461232197
lightgbm,XS,32,no_limit,119.4881021566505,119.42442799453546,89.52127497476887,89.57133332674132,-0.20275632817706324,-0.20147479312146177
lightgbm,XS,32,with_limit,118.41089618122824,118.05625572783411,88.5363325793804,88.42544361535741,-0.18116796619777786,-0.1741033687800424
lightgbm,XYA,1,no_limit,14.05140081489443,14.229746120800293,8.565245482898225,8.702198617417386,0.9843575510602878,0.9839579522348867
lightgbm,XYA,1,with_limit,13.966638677799237,14.111642599074454,8.524271524373486,8.65320478597879,0.9845457014589136,0.9842231375533682
lightgbm,XYA,2,no_limit,26.35591249638169,26.58373436767868,16.633726459775346,16.856173042361014,0.9449623813146897,0.944006772876936
lightgbm,XYA,2,with_limit,26.20004776824534,26.377684778412327,16.590623680904898,16.761289797055365,0.945611424124352,0.9448714120109802
lightgbm,XYA,3,no_limit,35.20775889925859,35.49221368712331,22.865704781528475,23.015000317843903,0.9017844429669315,0.9001910018680991
lightgbm,XYA,3,with_limit,34.96994543347204,35.05719841804106,22.822501202678133,22.961228191733642,0.9031067707430067,0.9026226538629196
lightgbm,XYA,4,no_limit,42.47641655497418,42.54616244590584,27.942640554880068,28.072052364805305,0.8570246220163505,0.8565547079864047
lightgbm,XYA,4,with_limit,41.88838002763893,42.275514682414496,27.768797686218047,27.98127956316758,0.8609558757831981,0.8583738927456426
lightgbm,XYA,5,no_limit,48.45943444268705,48.49286905686692,32.484306361332,32.45805667020089,0.8138872552216299,0.8136303494391708
lightgbm,XYA,5,with_limit,47.826722421928224,47.79376015500292,32.320206816357825,32.241732620734844,0.818715501005056,0.8189652981294804
lightgbm,XYA,6,no_limit,53.679382533263215,53.67491443303619,36.4406345317545,36.50497473360954,0.7716324174108646,0.7716704330039406
lightgbm,XYA,6,with_limit,52.809197095885594,52.86937419893741,36.22444498493185,36.44172755258156,0.7789764446151206,0.7784724363694948
lightgbm,XYA,7,no_limit,58.42309628614542,58.6586991540943,40.38990315748924,40.27309137663634,0.7294212514391084,0.7272345248254882
